20,230,20
15,225,25,-99.93
15,220,30,-101.05
15,215,35,-94.85
15,210,40,-80.92
15,205,45,-79.41
15,200,40,-78.38
15,195,40,-78.23
15,190,40,-74.02
15,185,40,-74.47
15,180,45,-79.79
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
10,180,50,-77.03
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
10,180,50,-77.03
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
15,175,50,-76.82
